[session 1 finished] 20:24:02;   actions taken = 334.0000;       mean reward = 0.0150;   total reward = 5.0000;  epsilon = 1.0000;       mean loss = 0.1501
[session 188 finished] 20:33:12;         actions taken = 3.0000;         mean reward = 1.6667;   total reward = 5.0000;  epsilon = 0.0700;       mean loss = 8.0488
[session 189 finished] 20:33:12;         actions taken = 10.0000;        mean reward = 0.5000;   total reward = 5.0000;  epsilon = 0.0700;       mean loss = 2.3869
[session 190 finished] 20:33:13;         actions taken = 21.0000;        mean reward = 0.2381;   total reward = 5.0000;  epsilon = 0.0600;       mean loss = 1.1511
[session 191 finished] 20:33:13;         actions taken = 1.0000;         mean reward = 5.0000;   total reward = 5.0000;  epsilon = 0.0600;       mean loss = 24.3050
[session 192 finished] 20:33:13;         actions taken = 3.0000;         mean reward = 1.6667;   total reward = 5.0000;  epsilon = 0.0500;       mean loss = 7.8621
[session 193 finished] 20:33:13;         actions taken = 22.0000;        mean reward = 0.2273;   total reward = 5.0000;  epsilon = 0.0500;       mean loss = 1.1070
[session 194 finished] 20:33:14;         actions taken = 23.0000;        mean reward = 0.2174;   total reward = 5.0000;  epsilon = 0.0400;       mean loss = 1.0355
[session 195 finished] 20:33:14;         actions taken = 3.0000;         mean reward = 1.6667;   total reward = 5.0000;  epsilon = 0.0400;       mean loss = 7.9864
[session 196 finished] 20:33:14;         actions taken = 9.0000;         mean reward = 0.5556;   total reward = 5.0000;  epsilon = 0.0300;       mean loss = 2.6664
[session 197 finished] 20:33:18;         actions taken = 168.0000;       mean reward = 0.0298;   total reward = 5.0000;  epsilon = 0.0300;       mean loss = 0.1556
[session 198 finished] 20:33:19;         actions taken = 41.0000;        mean reward = 0.1220;   total reward = 5.0000;  epsilon = 0.0200;       mean loss = 0.6091
[session 199 finished] 20:33:19;         actions taken = 7.0000;         mean reward = 0.7143;   total reward = 5.0000;  epsilon = 0.0200;       mean loss = 3.4621
[session 200 finished] 20:33:20;         actions taken = 20.0000;        mean reward = 0.2500;   total reward = 5.0000;  epsilon = 0.0100;       mean loss = 1.2089
agent succeed in catching object in 173/200 (86.5%) episodes
End of training, average actions to catch: 79.38150289017341
Model saved in path: ./exported/rqn_200_epoch
